SKU;ProductTitleFR;ProductTitleEN;ProductDescriptionFR;ProductDescriptionEN;upc;RegularPrice;Inventory;weight;length;width;height;ImageUrl;ProductCategory;AssociatedSkus

"020160";"FITTING FILTER BAG ADAPTOR BI635";"FITTING FILTER BAG ADAPTOR BI635";"";"";"";"4.000000";"233";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/020160.jpg";"All Parts";""
"040037";"POWER CORD 6'";"POWER CORD 6'";"";"";"";"40.650000";"104";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/040037.jpg";"Electrical Cord Winders";""
"040075";"CORDON D'ALIMENTATION 6'  GUV 16/3 3 BRINS";"POWER CORD 6' GUV 16/3 3 PRONGS";"";"";"";"23.800000";"808";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/040075.jpg";"Electrical Cord Winders";""
"07713";"Cette pices est rarement commande  JV403P le prix de cette pice sera ajust  07713";"Cette pices est rarement commande  JV403P le prix de cette pice sera ajust  07713";"Cette pices est rarement commande  JV403P le prix de cette pice sera ajust  07713";"Cette pices est rarement commande  JV403P le prix de cette pice sera ajust  07713";"";"0.010000";"0";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/07713.jpg";"Johnny Vac Parts (*)";""
"100-601";"THIS PART IS RARELY ORDERED KenmoreS10734730 price for this item will be adjusted 100-601";"THIS PART IS RARELY ORDERED KenmoreS10734730 price for this item will be adjusted 100-601";"THIS PART IS RARELY ORDERED KenmoreS10734730 price for this item will be adjusted 100-601";"THIS PART IS RARELY ORDERED KenmoreS10734730 price for this item will be adjusted 100-601";"";"0.010000";"0";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/100-601.jpg";"Johnny Vac Parts (*)";""
"1001X6";"Sac en papier pour aspirateur Johnny Vac Sweep Aid - paquet de 6 sacs";"Paper Vacuum Bag for Johnny Vac Sweep Aid - Pack of 6 Bags";"<P><I></I>&nbsp;</P>";"<P><I></I>&nbsp;</P>";"628383800941";"18.950000";"302";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/1001X6.jpg";"Vacuum Bags";"FI1000"
"10096";"Sac en papier pour aspirateur Dirt Devil type AB - paquet de 3 sacs - 440001018";"Paper Bag for Dirt Devil Type AB Vacuum - Pack of 3 Bags - 440001018";"";"";"";"10.250000";"0";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/10096.jpg";"Vacuum Bags";""
"1010H";"Sac microfiltre HEPA pour aspirateur chariot - Johnny Vac XV-10 et XV-10 Plus - paquet de 4 sacs + 1 filtre";"Microfilter Hepa Canister Vacuum Bags - Johnny Vac XV-10 and XV-10 Plus - Pack of 4 Bags + 1 Filter";"<p><em></em>Â </p>";"<p><i></i>Â </p>";"628383140047";"18.990000";"1248";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/1010H.jpg";"Vacuum Bags";"202H,XV10,XV10PLUS,XV10W,1010P,XV10PLUSW"
"10125";"Sac en papier pour aspirateur Royal type V - paquet de 7 sacs + 2 filtres - 1RY3590000";"Paper Vacuum Bag for Roval V Type Vacuum - Pack of 7 Bags + 2 Filters - 1RY3590000";"<P><I></I>&nbsp;</P>";"<P><I></I>&nbsp;</P>";"046034896240";"28.550000";"0";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/10125.jpg";"Vacuum Bags";""
"1018";"Sac en papier pour aspirateur Dirt Devil de type AB - 440001018";"Paper Vacuum Bag for Dirt Devil Type AB - 440001018";"<P><I></I>&nbsp;</P>";"<P><I></I>&nbsp;</P>";"628383296577";"14.350000";"2";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/1018.jpg";"Vacuum Bags";"61715ECM,3009"
"101ECM";"Sac microfiltre pour aspirateur Hoover H30 - paquet de 5 sacs + 1 filtre";"Microfilter Vacuum Bag for Hoover H30 - Pack of 5 Bags + 1 Filter";"<P><I></I>&nbsp;</P>";"<P><I></I>&nbsp;</P>";"836301003224";"17.950000";"0";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/101ECM.jpg";"Vacuum Bags";""
"10273";"Sac pour aspirateur dorsal Hoover Hushtone - Paquet de 10 sacs - AH10273";"Bag for Hoover Hushtone Back Pack Vacuum - Pack of 10 Bags - AH10273";"";"";"";"46.990000";"10";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/10273.jpg";"Vacuum Bags";""
"102ECM";"Sac microfiltre pour aspirateur Hoover R30 et remplacement pour sac Dirt Devil de type AB - paquet de 5 sacs";"Microfilter Vacuum Bag for Hoover R30 and Replacement for Dirt Devil Type AB Bag - Pack of 5 bags";"<p><i></i>Â </p>";"<p><i></i>Â </p>";"836301003231";"13.950000";"0";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/102ECM.jpg";"Vacuum Bags";""
"103191";"Sacs en papier pour aspirateur Proteam 11 L (10 pintes) Everest - paquet de 10 sacs - # 103191";"Paper Vacuum Bag for Proteam 10 Quarts (11 L) Everest - Pack of 10 Bags - # 103191";"<P><I></I>&nbsp;</P>";"<P><I></I>&nbsp;</P>";"693822031910";"60.650000";"3";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/103191.jpg";"Vacuum Bags";""
"10331ECM";"Sac microfiltre pour aspirateur dorsal  Proteam / Perfect - paquet de 10 sacs - Envirocare 180";"Microfilter Bag for Back Pack Vacuum Cleaner Proteam / Perfect - Pack of 10 Bags - Envirocare 180";"<P><I></I>&nbsp;</P>";"<P><I></I>&nbsp;</P>";"628383692690";"19.990000";"0";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/10331ECM.jpg";"Vacuum Bags";"PE1001,PEBP10"
"10331H";"Sac microfiltre HEPA pour aspirateur dorsal Proteam Perfect - paquet de 6 sacs";"Microfilter Hepa Vacuum Bag for Back Pack Proteam Perfect - Pack of 6 Bags";"<P><I></I>&nbsp;</P>";"<P><I></I>&nbsp;</P>";"628383401315";"21.950000";"156";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/10331H.jpg";"Vacuum Bags";"PE1001,PEBP10"
"10431";"Sacs en papier pour aspirateur Proteam 6,6 L - paquet de 10 sacs - #100431";"6.6 L Paper Bags for Proteam Vacuum - Pack of 10 Bags - #100431";"  <meta generatedBy=""This HTML file is proudly generated by MMM"" />    <h3></h3>        <h3></h3>        <h3>ConÃ§u pour</h3>      <ul><li>Proteam: Aviation Vac - GoCartVac - ProVac BP -</li><li>QuarterVac - QuietPro BP - Super QuarterVac - TailVac</li></ul><hr>  <h3></h3>        <h3></h3>        <h3></h3>          ";"  <meta generatedBy=""This HTML file is proudly generated by MMM"" />    <h3></h3>        <h3></h3>        <h3>Fits On</h3>      <ul><li>Proteam: Aviation Vac - GoCartVac - ProVac BP -</li><li>QuarterVac - QuietPro BP - Super QuarterVac - TailVac</li></ul><hr>  <h3></h3>        <h3></h3>        <h3></h3>          ";"";"52.250000";"15";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/10431.jpg";"Vacuum Bags";""
"105";"SAC  HEPA INTERVAC CS6,CS8  PK5  + 1FILTRE";"HEPA BAG INTERVAC  CS6,CS8 PK 5 +1 FILTER";"";"";"";"29.950000";"432";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/105.jpg";"Vacuum Bags";""
"106";"Sac microfiltre pour aspirateur Fuller modÃ¨le FBCC-1 et CPCC-1 - paquet de 6 sacs";"Microfilter Vacuum Bag for Fuller Model FBCC-1 and CPCC-1 - Pack of 6 Bags";"<P>&nbsp;</P>";"<P>&nbsp;</P>";"";"12.500000";"0";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/106.jpg";"Vacuum Bags";""
